id,status,funded_amount,activity,country,geo_level,post,expire,loan_amount,humans,smile,gender,age
1308233,funded,3300,Retail,Paraguay,town,2017-05-29T23:30:02Z,2017-06-28T23:30:02Z,3300,NA,NA,NA,NA
1304532,fundraising,150,Retail,Sierra Leone,town,2017-05-29T23:20:04Z,2017-06-28T23:20:04Z,225,S,0.543,female,18.7
1304534,fundraising,25,Farming,Nigeria,town,2017-05-29T23:20:04Z,2017-06-28T23:20:04Z,150,S,0.002,male,39
1304538,funded,300,Grocery Store,Egypt,town,2017-05-29T23:20:04Z,2017-06-28T23:20:04Z,300,S,0.22,female,23.7
1304411,fundraising,0,Farming,Kenya,town,2017-05-29T23:20:03Z,2017-06-28T23:20:03Z,600,S,0.275,female,67.4
1304530,fundraising,275,Crafts,Armenia,town,2017-05-29T23:20:03Z,2017-06-28T23:20:03Z,1675,S,0.344,male,50.1
1304531,fundraising,0,Farming,Kenya,town,2017-05-29T23:20:03Z,2017-06-28T23:20:03Z,300,S,0,female,15
1304533,funded,500,Grocery Store,Nepal,town,2017-05-29T23:20:02Z,2017-06-28T23:20:02Z,500,S,0.057,female,34.6
1304526,funded,275,Fish Selling,Sierra Leone,town,2017-05-29T23:10:03Z,2017-06-28T23:10:03Z,275,S,0.206,male,44.1
1304527,funded,400,Carpentry,Egypt,town,2017-05-29T23:10:03Z,2017-06-28T23:10:03Z,400,NA,NA,NA,NA
1304528,funded,150,Personal Medical Expenses,Tajikistan,town,2017-05-29T23:10:02Z,2017-06-28T23:10:02Z,150,S,0,male,34.6
1304383,funded,200,Poultry,Kenya,town,2017-05-29T23:00:04Z,2017-06-28T23:00:04Z,200,NA,NA,NA,NA
1304507,fundraising,0,Farming,Kenya,town,2017-05-29T23:00:04Z,2017-06-28T23:00:04Z,400,NA,NA,NA,NA
1304519,funded,450,Beverages,Liberia,town,2017-05-29T23:00:04Z,2017-06-28T23:00:04Z,450,S,0.099,female,31.5
1304524,fundraising,25,Personal Housing Expenses,Tajikistan,town,2017-05-29T23:00:03Z,2017-06-28T23:00:03Z,250,S,0.055,male,43.7
1304508,funded,500,Butcher Shop,Nepal,town,2017-05-29T23:00:02Z,2017-06-28T23:00:02Z,500,S,0.448,male,42.3
1304521,funded,500,Weaving,Nepal,town,2017-05-29T23:00:02Z,2017-06-28T23:00:02Z,500,S,0.136,female,43.6
1304525,funded,400,Farming,Nepal,town,2017-05-29T23:00:02Z,2017-06-28T23:00:02Z,400,S,0.127,female,44.4
1304504,fundraising,0,Farming,Nigeria,town,2017-05-29T22:50:03Z,2017-06-28T22:50:03Z,575,S,0,male,46.9
1304517,fundraising,0,Farming,Nigeria,town,2017-05-29T22:50:03Z,2017-06-28T22:50:03Z,650,S,0.001,male,26.2
1308213,fundraising,0,Home Energy,Nicaragua,country,2017-05-29T22:50:03Z,2017-06-28T22:50:03Z,700,S,0.147,male,32.1
1308223,fundraising,75,Spare Parts,Ecuador,town,2017-05-29T22:50:03Z,2017-06-28T22:50:03Z,1075,S,0.001,female,39.9
1304516,funded,200,Cattle,Kenya,town,2017-05-29T22:50:02Z,2017-06-28T22:50:02Z,200,NA,NA,NA,NA
1304518,fundraising,0,Farming,Kenya,town,2017-05-29T22:50:02Z,2017-06-28T22:50:02Z,400,S,0.06,female,36.2
1304510,fundraising,50,Cattle,Tajikistan,town,2017-05-29T22:40:04Z,2017-06-28T22:40:04Z,725,NA,NA,NA,NA
1308212,fundraising,75,Home Energy,Nicaragua,country,2017-05-29T22:40:04Z,2017-06-28T22:40:04Z,525,NA,NA,NA,NA
1308216,funded,275,Embroidery,Ecuador,town,2017-05-29T22:40:04Z,2017-06-28T22:40:04Z,275,S,0.008,male,40.3
1308219,fundraising,0,General Store,El Salvador,town,2017-05-29T22:40:04Z,2017-06-28T22:40:04Z,1100,S,0.326,male,31.8
1308220,funded,300,Bookstore,El Salvador,town,2017-05-29T22:40:04Z,2017-06-28T22:40:04Z,300,S,0.005,female,37.2
